time_s,current_A,true_T1_C,EKF_T1_C,true_T2_C,EKF_T2_C,true_T3_C,EKF_T3_C,true_T4_C,EKF_T4_C,true_T5_C,EKF_T5_C,true_hotspot_C,EKF_hotspot_C
1030.0,21.57129787153378,54.75466886288512,54.336187637267834,54.84120782385523,54.70776987737261,54.916539560330115,54.68894653731031,54.991871296969556,54.890703882723635,55.07841025820596,54.737703911097185,55.07841025820596,54.890703882723635
1031.0,21.488087234679124,54.73119176577459,54.31059992677284,54.82426011300294,54.690439980229456,54.90757670395466,54.68193519532095,54.99089329506746,54.895722220281314,55.08396164255649,54.74808082348201,55.08396164255649,54.895722220281314
1032.0,21.406202549778094,54.70792343913817,54.284598422006965,54.80740405775975,54.67105153862593,54.89863098799476,54.67164775602785,54.98985791838745,54.88926863841422,55.089338537264204,54.75365572007457,55.089338537264204,54.88926863841422
1033.0,21.328842941345115,54.684872191752014,54.25304612057149,54.79065009231698,54.63682311019885,54.88971223740262,54.6527688651943,54.988774382642625,54.86309675909418,55.09455228345739,54.75110609211218,55.09455228345739,54.86309675909418
1034.0,21.252789525350444,54.66205796872087,54.22796173739794,54.77402024594552,54.619420154108326,54.88084194082374,54.64464304226507,54.98766363585309,54.86522945461191,55.09962591332227,54.759435048936275,55.09962591332227,54.86522945461191
1035.0,21.17581633340929,54.639487788082185,54.19806092070977,54.757523615507644,54.58967359568379,54.8720287551855,54.63311306456809,54.9865338950113,54.86562981249737,55.104569722676146,54.767172875345885,55.104569722676146,54.86562981249737
1036.0,21.09414553788868,54.61715998878949,54.176002696486684,54.7411605787052,54.577596676042745,54.86327268074932,54.61949299170183,54.98538478293827,54.840169084593576,55.10938537308834,54.76379735979456,55.10938537308834,54.840169084593576
1037.0,21.01428546601291,54.59505878883907,54.14886064607632,54.724917329647454,54.553896938660884,54.854559570425785,54.61128907296675,54.984201811345905,54.84888077569241,55.114060352383724,54.77425056520024,55.114060352383724,54.84888077569241
1038.0,20.935731439116378,54.57319329506199,54.12910627978325,54.708804850512344,54.54685246410058,54.845900059503734,54.602334407766534,54.982995268633935,54.83758661840403,55.118606824308905,54.776143431462536,55.118606824308905,54.83758661840403
1039.0,20.856632182310083,54.55157030787277,54.107927128385086,54.69283178931074,54.53662952402438,54.83730251231674,54.599538208579894,54.98177323545865,54.85421385500637,55.123034717116504,54.78935246416004,55.123034717116504,54.85421385500637
1040.0,20.775928570826814,54.530189395520324,54.090164088365675,54.67699952962715,54.53321198009218,54.82876808429455,54.59483262935096,54.980536639095,54.855162031877114,55.12734677341711,54.79607215890364,55.12734677341711,54.855162031877114
