config_id,fan_weight,hotspot_weight,gradient_weight,dwell,switch_weight,maximum_duty_step,duty_move_weight,controller,maximum_hotspot_C,maximum_hotspot_excess_C,hotspot_excess_rmse_C,gradient_rmse_C,fan_energy_proxy_duty2_h,direction_switch_count,mean_temperature_tracking_rmse_C,maximum_energy_residual_W,reference_unattainable_at_saturation_fraction,energy_relative_difference_percent,within_5pct_equal_energy
647,10.0,1.0,0.5,60.0,30.0,0.05,0.8,Hotspot-MPC,57.50115786915742,2.5011578691574172,0.6322330189139886,2.1641307675654606,0.005409722222222225,1,0.8018979570741683,1.0551559626037488e-12,0.0,12.950623614764979,False
648,10.0,1.0,1.0,10.0,1.0,0.05,0.8,Hotspot-MPC,59.55864529553704,4.5586452955370405,1.596932767556978,0.6655086242403949,0.005347222222222223,21,1.3718475346813541,9.094947017729282e-13,0.0,11.64567417634017,False
649,10.0,1.0,1.0,10.0,4.0,0.05,0.8,Hotspot-MPC,59.52766960129725,4.527669601297248,1.5116674283179312,0.691633877038316,0.005555555555555556,16,1.283991704261104,8.526512829121202e-13,0.0,15.995505637756025,False
650,10.0,1.0,1.0,10.0,10.0,0.05,0.8,Hotspot-MPC,59.42045790245684,4.420457902456839,1.4620499276203422,0.8708471716679059,0.0053680555555555565,10,1.2399124690410859,1.0800249583553523e-12,0.0,12.08065732248178,False
651,10.0,1.0,1.0,10.0,30.0,0.05,0.8,Hotspot-MPC,59.2136914950074,4.213691495007403,1.369438822802221,1.6523067736550006,0.005159722222222223,4,1.1014603057511838,9.308109838457312e-13,0.0,7.730825861065904,False
652,10.0,1.0,1.0,30.0,1.0,0.05,0.8,Hotspot-MPC,59.55864529553704,4.5586452955370405,1.596932767556978,0.6655086242403949,0.005347222222222223,21,1.3718475346813541,9.094947017729282e-13,0.0,11.64567417634017,False
653,10.0,1.0,1.0,30.0,4.0,0.05,0.8,Hotspot-MPC,59.52766960129725,4.527669601297248,1.5116674283179312,0.691633877038316,0.005555555555555556,16,1.283991704261104,8.526512829121202e-13,0.0,15.995505637756025,False
654,10.0,1.0,1.0,30.0,10.0,0.05,0.8,Hotspot-MPC,59.42045790245684,4.420457902456839,1.4620499276203422,0.8708471716679059,0.0053680555555555565,10,1.2399124690410859,1.0800249583553523e-12,0.0,12.08065732248178,False
655,10.0,1.0,1.0,30.0,30.0,0.05,0.8,Hotspot-MPC,59.2136914950074,4.213691495007403,1.369438822802221,1.6523067736550006,0.005159722222222223,4,1.1014603057511838,9.308109838457312e-13,0.0,7.730825861065904,False
656,10.0,1.0,1.0,60.0,1.0,0.05,0.8,Hotspot-MPC,59.86901813403784,4.869018134037837,1.6066288546879126,0.6944277978655444,0.005194444444444445,16,1.3839553321167313,1.1368683772161603e-12,0.0,8.4557977713019,False
657,10.0,1.0,1.0,60.0,4.0,0.05,0.8,Hotspot-MPC,59.85962806074273,4.859628060742729,1.6098510651468079,0.6997113326947941,0.005152777777777778,15,1.3870241993743697,8.526512829121202e-13,0.0,7.585831479018701,False
658,10.0,1.0,1.0,60.0,10.0,0.05,0.8,Hotspot-MPC,59.42045790245684,4.420457902456839,1.4620499276203422,0.8708471716679059,0.0053680555555555565,10,1.2399124690410859,1.0800249583553523e-12,0.0,12.08065732248178,False
659,10.0,1.0,1.0,60.0,30.0,0.05,0.8,Hotspot-MPC,59.2136914950074,4.213691495007403,1.369438822802221,1.6523067736550006,0.005159722222222223,4,1.1014603057511838,9.308109838457312e-13,0.0,7.730825861065904,False
660,10.0,1.0,2.0,10.0,1.0,0.05,0.8,Hotspot-MPC,60.1276003986958,5.127600398695797,1.8244631088677328,0.6469556220389282,0.00520138888888889,22,1.5915384797772387,9.947598300641403e-13,0.0,8.6007921533491,False
661,10.0,1.0,2.0,10.0,4.0,0.05,0.8,Hotspot-MPC,59.960581072246704,4.960581072246704,1.7225212318571475,0.6545636779489457,0.005326388888888889,20,1.488203361460485,1.1226575225009583e-12,0.0,11.210691030198582,False
662,10.0,1.0,2.0,10.0,10.0,0.05,0.8,Hotspot-MPC,59.8023340223005,4.802334022300499,1.8307301131198328,0.6819697124473606,0.005222222222222224,15,1.599063837445448,1.3073986337985843e-12,0.0,9.03577529949069,False
663,10.0,1.0,2.0,10.0,30.0,0.05,0.8,Hotspot-MPC,60.07959834477,5.079598344769998,1.98653599633363,1.0690124428813907,0.0047638888888888896,8,1.6811983338587155,1.0373923942097463e-12,0.0,-0.533853915624205,True
664,10.0,1.0,2.0,30.0,1.0,0.05,0.8,Hotspot-MPC,60.1276003986958,5.127600398695797,1.8244631088677328,0.6469556220389282,0.00520138888888889,22,1.5915384797772387,9.947598300641403e-13,0.0,8.6007921533491,False
665,10.0,1.0,2.0,30.0,4.0,0.05,0.8,Hotspot-MPC,59.960581072246704,4.960581072246704,1.7225212318571475,0.6545636779489457,0.005326388888888889,20,1.488203361460485,1.1226575225009583e-12,0.0,11.210691030198582,False
666,10.0,1.0,2.0,30.0,10.0,0.05,0.8,Hotspot-MPC,59.8023340223005,4.802334022300499,1.8307301131198328,0.6819697124473606,0.005222222222222224,15,1.599063837445448,1.3073986337985843e-12,0.0,9.03577529949069,False
667,10.0,1.0,2.0,30.0,30.0,0.05,0.8,Hotspot-MPC,60.07959834477,5.079598344769998,1.98653599633363,1.0690124428813907,0.0047638888888888896,8,1.6811983338587155,1.0373923942097463e-12,0.0,-0.533853915624205,True
668,10.0,1.0,2.0,60.0,1.0,0.05,0.8,Hotspot-MPC,59.807502849737574,4.807502849737574,1.6189325009998374,0.6909001637303658,0.0052430555555555555,16,1.3846032375458117,9.094947017729282e-13,0.0,9.470758445632232,False
669,10.0,1.0,2.0,60.0,4.0,0.05,0.8,Hotspot-MPC,59.9185266325745,4.918526632574498,1.8221579898270275,0.6838589610005291,0.00495138888888889,16,1.594415535721454,9.237055564881302e-13,0.0,3.3809943996500724,True
670,10.0,1.0,2.0,60.0,10.0,0.05,0.8,Hotspot-MPC,60.128301031532956,5.128301031532956,1.841330289372456,0.7128134466795641,0.0049652777777777785,14,1.5936226398716389,1.3073986337985843e-12,0.0,3.6709831637444568,True
671,10.0,1.0,2.0,60.0,30.0,0.05,0.8,Hotspot-MPC,60.07959834477,5.079598344769998,1.98653599633363,1.0690124428813907,0.0047638888888888896,8,1.6811983338587155,1.0373923942097463e-12,0.0,-0.533853915624205,True
672,10.0,2.0,0.2,10.0,1.0,0.05,0.8,Hotspot-MPC,57.47894496958681,2.478944969586813,0.6926402506151734,0.844516231283201,0.00586111111111111,14,0.5597157331156282,1.0302869668521453e-12,0.0,22.375258447832593,False
673,10.0,2.0,0.2,10.0,4.0,0.05,0.8,Hotspot-MPC,57.94062885761219,2.9406288576121895,0.7863128226949099,1.4226651771888668,0.005472222222222223,6,0.8622304520171126,9.592326932761353e-13,0.0,14.255573053189696,False
674,10.0,2.0,0.2,10.0,10.0,0.05,0.8,Hotspot-MPC,57.00105005060089,2.001050050600888,0.5008196163263495,1.9207121794196704,0.005534722222222223,2,0.9150156322033486,9.592326932761353e-13,0.0,15.56052249161446,False
